# layers,nodes,alpha,tolerance,initial_learning_rate,cross_val_score
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000048e-04,1.000000000000000021e-03,1.000000000000000021e-02,8.998820439999999365e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000048e-04,1.000000000000000021e-02,1.000000000000000021e-02,8.937400619999997797e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-02,8.988334379999999291e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-03,1.000000000000000021e-02,1.000000000000000021e-02,8.959530360000000915e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-02,1.000000000000000021e-03,1.000000000000000021e-02,8.977150899999999378e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,1.000000000000000021e-03,1.000000000000000021e-02,8.999281180000000546e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000082e-05,1.000000000000000021e-03,1.000000000000000021e-02,8.989517580000001562e-01
1.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000082e-05,1.000000000000000021e-02,1.000000000000000021e-02,8.945219859999999912e-01
1.000000000000000000e+00,1.000000000000000000e+03,9.999999999999999547e-07,1.000000000000000021e-02,1.000000000000000021e-02,8.961662459999999442e-01
1.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000048e-04,1.000000000000000000e+01,1.000000000000000021e-02,8.072362180000001164e-01
3.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000048e-04,1.000000000000000021e-03,1.000000000000000021e-02,9.034759319999998706e-01
3.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-03,1.000000000000000021e-03,1.000000000000000021e-02,9.032623739999999790e-01
3.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000021e-02,1.000000000000000021e-03,1.000000000000000021e-02,9.016436119999999832e-01
3.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000056e-01,1.000000000000000021e-03,1.000000000000000021e-02,9.053344119999998663e-01
3.000000000000000000e+00,1.000000000000000000e+03,1.000000000000000082e-05,1.000000000000000021e-03,1.000000000000000021e-02,9.022150520000000729e-01
